"ean","brand","nome","ivazero","price","desconto","pvp_recomendado","promocao","preco_por_volume","category","embalagem","link_produto","link_imagem","id","variant","channel"
8710522571439,"Linic","Champô Homem Limpeza Profunda Anticaspa",FALSE,3.36,"25",NA,NA,"€14,93","Beleza e Higiene/Homem/Cabelo","emb. 225 ml","https://www.continente.pt/produto/champo-homem-limpeza-profunda-anticaspa-linic-7196479.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwdb4487c5/images/col/719/7196479-hero.jpg?sw=280&sh=280","7196479","","col"
5603722506536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5603722498022,"Mimosa","Leite Aromatizado com Morango",FALSE,1.69,"15",NA,NA,"€2,11","Laticínios e Ovos/Leite/Leite Achocolatado e Aromatizado","emb. 4 x 200 ml","https://www.continente.pt/produto/leite-aromatizado-com-morango-mimosa-3036033.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1c8bacd1/images/col/303/3036033-frente.jpg?sw=280&sh=280","3036033","","col"
5603722509759,"Mimosa","Leite Achocolatado",FALSE,1.69,NA,NA,NA,"€2,11","Laticínios e Ovos/Leite/Leite Achocolatado e Aromatizado","emb. 4 x 200 ml","https://www.continente.pt/produto/leite-achocolatado-mimosa-4749262.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw9cd1c5d9/images/col/474/4749262-frente.jpg?sw=280&sh=280","4749262","","col"
5603722509667,"Mimosa","Leite Achocolatado",FALSE,1.69,"15",NA,NA,"€2,11","Laticínios e Ovos/Leite/Leite Achocolatado e Aromatizado","emb. 4 x 200 ml","https://www.continente.pt/produto/leite-achocolatado-mimosa-4756309.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw2026b3f0/images/col/475/4756309-frente.jpg?sw=280&sh=280","4756309","","col"
5603722509636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5603722514142,"Agros","Leite Achocolatado",FALSE,2.69,"15",NA,NA,"€1,68","Laticínios e Ovos/Leite/Leite Achocolatado e Aromatizado","emb. 8 x 200 ml","https://www.continente.pt/produto/leite-achocolatado-agros-5499368.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw55d18990/images/col/549/5499368-frente.jpg?sw=280&sh=280","5499368","","col"
8410981093199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5603722520433,"Mimosa","Leite Proteína Morango sem Lactose",FALSE,2.99,NA,NA,NA,"€3,99","Laticínios e Ovos/Leite/Leite Achocolatado e Aromatizado","emb. 3 x 250 ml","https://www.continente.pt/produto/leite-proteina-morango-sem-lactose-mimosa-7445893.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw9c1b239a/images/col/744/7445893-frente.jpg?sw=280&sh=280","7445893","","col"
7630054495076,"Buondi","Cápsulas de Café Intenso Int 10",FALSE,4.29,NA,NA,NA,"€0,43","Mercearia/Café, Chá e Chocolate Solúvel/Café em Cápsulas","emb. 10 un","https://www.continente.pt/produto/capsulas-de-cafe-intenso-int-10-buondi-7067809.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwb9bea96d/images/col/706/7067809-direito.jpg?sw=280&sh=280","7067809","","col"
